00000000000000000000000000000001 0000000000000000000000000000000A 00000000000000000000000000000005 00000000000000000000000000000000
C8FECCCC61BA085DCA68B24EBBAC7615 DD8BB807327C3F4E6A8F03BB1DC36C91 63157D8DB6868842CB5B002F6E8B62C7 A60C92A1916C2A7C7DF57FB67D08FBCD
A8134651CC4F2114071F5468DDF800E8 3A1BE97CB231E53EF1335792AD1D7015 02AF541296894024473C3FA0EF74A7BD 24E49F8BBAE128A0D29D1EDFF2CCE778
AC8BDEE0A1786DD734308E3BDC7ECB27 93BE06687768F0874591E5BFF844E844 3B096CC11499395265FACFF5A1D7A85F 35BFBE6D325904DCEE2EB453D1A130F0
D176098469B1B18ADC6F673B997A7758 1248ED7D26E6660AC39CD0EB3C31EA21 5B60CDDA08E63B94672A3A4AA0C7E531 4080AE3B76C774DA43B82DB74A2DB7A7
875A4E11415BAC39AC8A05CBDA340177 5CB4C43A2C19EA04744C8F924E7BACED 09069B9F52DE12882FB7955FF6F97437 3092782D3790CA6237E34745288DB47F
EDE8B878137FE94D5896B19F61CBBAAA 02239BFFBDC01BC5B4ECB9316BE01CD3 0FA7CC65276F75C16F0D1A8CA4726B91 0751A0D6B0D89100D53F29A56A69D157
F3DE7E785A63D4EA9D69C712C86209A2 C0D8A38BCD1637C05F646839B131C499 F8FFC1F7BEFCB435BF7F47AA5A496B7D AE5AA4596606CD1C2F12FA3A5372D87A
2EA306F4D02A0A0C319C5E7DA3095609 556A29A7EED117E5CB4430DC620E82BC CFE74220EA21DEE8E16BC73416498337 A5D63A3AA41A5E560BC8EF94DD8C5697
C5284D23B11D93274517C5655F141C39 8F0F5E1524B8B0A5D4101A90BA18C6F4 BD5808DD5B56360133127E99AAC7FA31 393EF69A0915FAD106E5CE34B472729B
827D88A3F9C445C0AA2466E9A5C7BB26 6B23D00646908AC60CD7EDD524D084D2 3CFA661104C8814E7EA15CF6E78ED353 13587CDA281EFBC0D657D0E7B50EB75F
8695DEC2ACDEB7A11534065744E0840F B2B7AD7643DD2F16E783DA21624B14C3 23C3C39672774C37176907BE9263D6AF 58048F36F4AC4B484D1B9FCC43929E40
969CCD098276A8AD43CD3190439A25A0 905C7DF8EE5EB95CF3173961D28743F3 205D4519182A15B56B004DCAC5C47569 479CB3B8F04AE25070CDB43881B14288
DEB773C6F42D649A767B14A7B4803AE0 4A4508B81777B08402D74028DE18B561 88F2F07BFDF88BB2E1FF26881D89D4EF 3C9328D347365CACBF3D3F2DED4D7953
ADF86A5C7A9EA41C178A0EBFA7E2B341 6878479CA80498E58FB49387CF8996CD 56C05E62DA845F22A7D1F00E54FAA57D 5625CF63B1C5B31C8171FA72EC81F6B3
C38639BCEC1A91D725D4808525A1EA0D 48D4F65240D0CD8C69D1FE06FCB977E1 847C240E8FEDD5A520AF3FB535B95B35 5248F13564FF427EC7B916F9EA93CCCC
23D642C69CE77118EA8627FA02ABC748 8AF9D6D247CD3A21F5672F3644283007 45BB64B55F06F3325212714C07D70CA7 20D9FA3C600413A218AFBF96F0EB9567
56CE7AEDD22C128A508A80DA52523CF3 22F2EA7727EEE5009F3C4B781BA80387 980D5B8303252C745A28D4E5E511C4B9 16D020288E656622CB2ACB94EC9484BF
4F30DBC40AE1668F335B140E1428FDA0 D21686E503B853F1A231CCF32216517D 42C2387FA5B4DB31AA52A295CAE9283B 0F7280316F4938D59FFF4503D71D1EF9
11679FD9A37F091EB77C100D352CDD30 646C2D2BD6382ADDD3C9E5DC185C12B2 671DCE0C56D8D62BE21BA0923FAF1645 074E2CE900F59A18CE84B272D290062B
6C12931D6FCEF9EFE8B071820C7FA398 6C12931D6FCEF9EFE8B071820C7FA398 819DC6B2574E12C3C8BC49CDD79555FD 01203D3EAA5C34CC54BE2842FA7AF7F5
